248,412,413,0,1,0
40,331,332,0,0,1
6263,6262,6261,0.5393,0.1534,0.3073
2800,2803,2801,0.1318,0.6437,0.2245
4005,4071,4072,0.5839,0.2074,0.2088
583,517,584,0.3969,0.3336,0.2695
3063,3170,3068,0,1,0
4785,1307,1306,0,0,1
5358,5359,5334,0,0.1649,0.8351
5295,5349,5348,0.2874,0.4453,0.2672
5209,5210,5089,0.1543,0.0879,0.7578
5097,5131,5098,0.315,0.4723,0.2127
5568,5405,5569,0.362,0.4348,0.2032
5384,5697,5692,0.3854,0.0522,0.5623
5731,5676,5660,0.1684,0.7503,0.0813
1873,1897,1874,0.2175,0.5252,0.2573
1829,1244,1243,0.3915,0.1553,0.4532
1620,1622,1623,0.1492,0.4,0.4508
1733,1628,1663,0.2764,0.4457,0.2779
2109,1944,2107,0.4914,0.1812,0.3274
1925,2113,1923,0.3243,0.3623,0.3134
2199,2000,2215,0.0912,0.0674,0.8414
4496,4539,4540,0.4247,0.3703,0.205
4501,4544,4502,0.1461,0.157,0.6969
6728,6729,6605,0.504,0.4003,0.0957
6834,6600,6833,0,0.5443,0.4557
6749,6750,6747,0.1434,0.7392,0.1173
6751,6738,6737,0.6955,0.1417,0.1628
6615,6614,6657,0.4361,0.2862,0.2777
6783,6787,6788,0.1275,0.3151,0.5575
1011,1054,1009,0.1883,0.1117,0.7
1016,1060,1017,0.7385,0.1432,0.1183
3381,3329,3328,0.1258,0.6858,0.1884
3433,3210,3200,0.3711,0,0.6289
3348,3349,3350,0.1961,0.6454,0.1585
3351,3340,3352,0.6669,0.1607,0.1724
3259,3214,3213,0.2337,0.3449,0.4214
3388,3387,3389,0.6781,0.1857,0.1363
